Num;X;Y;Power
1;27.35;41.4;194.8303
2;27.1;41.4333;307.4742
3;27.8056;41.1675;1365.4278
4;27.955;40.97;99.3978
5;28.8713;41.1256;384.2999
6;28.8126;41.0779;245.8966
7;28.7315;41.0153;1034.0394
8;28.8539;41.0794;585.1114
9;28.8506;40.9975;726.6457
10;28.883;41.1872;150.4298
11;28.8406;41.0456;299.3499
12;29.05;41.1663;136.5292
13;29.1057;41.1327;99.7461
14;29.1065;41.0303;673.9182
15;29.1167;40.9833;348.4661
16;29.1741;40.949;195.2424
17;29.1936;40.8997;198.6175
18;29.2902;41.0287;388.6151
19;29.535;40.7797;150.6506
20;29.4333;40.8;680.7641
21;29.295;40.842;421.5552
22;30.406;40.7889;604.7046
23;29.9484;40.776;1114.8091
24;30.7838;40.4004;27.6966
25;31.1565;40.8438;280.5017
26;31.4181;41.2894;73.3321
27;31.7987;41.4564;233.6908
28;27.6089;39.1883;262.9694
29;27.8853;39.6468;236.0746
30;26.6774;40.4174;185.6775
31;26.6995;40.353;303.051
32;28.9848;40.2178;263.9208
33;29.0547;40.1918;999.9726
34;27.2457;40.2341;270.9375
35;27.9792;40.3595;203.6111
36;27.7819;37.3128;249.7112
37;28.1403;37.3406;377.0545
38;27.6018;37.8721;448.8652
39;29.0786;37.9558;552.3638
40;29.264;37.7576;480.5168
41;27.0441;38.327;736.1619
42;26.5167;38.6333;24.2443
43;26.3149;38.3298;25.6075
44;26.9703;38.795;284.459
45;27.2441;38.4627;1234.9166
46;27.4231;38.4263;615.689
47;29.4916;39.5444;249.5335
48;30.5198;39.7707;506.4751
49;30.9581;39.7606;22.6026
50;30.5403;38.7638;406.1218
51;30.6419;36.8756;265.0376
52;30.5984;37.0229;303.5109
53;30.6722;36.9186;637.1508
54;31.4629;36.7901;389.1777
55;31.8507;37.4239;131.8041
56;32.8925;36.6389;300.0207
57;34.0517;37.5058;339.2232
58;32.4871;37.8786;887.0811
59;31.3599;40.1916;25.7013
60;31.4953;39.8642;53.4248
61;32.5842;39.9668;722.1533
62;32.831;40.0211;1254.619
63;33.4957;39.8383;322.6803
64;33.2578;40.8397;227.6936
65;34.7667;41.4667;111.0298
66;34.6324;36.7993;786.1463
67;35.7833;36.7667;20.9337
68;35.8228;37.0317;84.8469
69;36.1762;36.2002;443.7432
70;36.1726;36.5869;210.4961
71;36.2022;36.9539;148.9481
72;36.1464;37.067;309.039
73;36.1;37.3698;151.682
74;35.6728;37.2588;954.9939
75;35.8;37.45;77.8794
76;36.2224;38.2646;58.4929
77;35.8952;41.5654;96.901
78;35.8333;40.65;257.4246
79;36.7269;41.199;50.8931
80;36.9707;41.2092;83.1641
81;36.6314;40.987;125.4435
82;36.4569;41.2125;225.2816
83;37.8833;40.9833;200.462
84;35.0801;38.3585;413.3781
85;35.5007;38.7215;634.2843
86;37.0179;39.7477;960.2968
87;37.3833;39.2333;129.7626
88;38.7419;38.7939;224.4479
89;39.2833;38.2167;206.0593
90;40.0348;38.9584;90.6576
91;39.9525;38.7055;72.3322
92;38.8141;41.0051;209.322
93;40.4431;40.9285;285.425
94;41.68;41.3625;36.974
95;41.8167;41.1833;41.6209
96;41.5486;40.8254;7.8509
97;40.9953;40.4836;5.9759
98;41.2679;39.9043;133.1523
99;41.5483;40.5364;24.943
100;43.0567;39.7217;145.5083
101;43.3671;38.5081;137.1844
102;44.0152;38.0458;46.281
103;37.2062;38.2027;186.3096
104;36.3525;37.5763;523.5028
105;37.3773;37.0718;1048.867
106;38.5256;37.3628;165.4625
107;37.9769;37.025;161.217
108;38.8007;37.1587;455.5448
109;38.9556;37.5886;165.5299
110;39.7667;37.2333;115.2004
111;40.2306;37.9144;351.3562
112;41.1351;37.8812;224.1011
113;40.5861;37.1939;289.1829
114;41.9329;37.9443;162.5387
115;42.1958;37.325;35.5262
116;42.4723;37.2483;42.8505
